The Big Bang Theory,TBS,1458472,1395490,0.043183551
George Lopez,NICK,338509,337998,0.001509561
Milo Murphy's Law,DISNEYXD,61612,63146,-0.0248977472
E! News,E!,71085,66430,0.0654849828
Milo Murphy's Law,DISNEYXD,82867,84698,-0.0220956472
E! News,E!,71085,74939,-0.0542167827
Keeping Up with the Kardashians,E!,124879,165309,-0.3237533933
Gravity Falls,DISNEYXD,100919,99470,0.0143580495
Keeping Up with the Kardashians,E!,124879,100523,0.1950367956
Gravity Falls,DISNEYXD,106254,105661,0.0055809664
Keeping Up with the Kardashians,E!,96808,94338,0.0255144203
iCarly,TEENNCK,88120,85503,0.0296981389
Lab Rats,DISNEYXD,99632,99228,0.0040549221
Keeping Up with the Kardashians,E!,107966,108040,-0.000685401
Lab Rats,DISNEYXD,92426,91717,0.0076710017
Bella and the Bulldogs,TEENNCK,55031,56308,-0.0232051026
Keeping Up with the Kardashians,E!,121213,119729,0.0122429112
Bubble Guppies,NICK,463166,457934,0.011296166
Cupcake Wars,FOOD,166182,175929,-0.0586525616
Keeping Up with the Kardashians,E!,121213,117863,0.0276372996
The Surrogate,LIFE,139887,130407,0.067768985
Lab Rats,DISNEYXD,101039,96532,0.0446065381
100 Things to do Before High School,TEENNCK,53072,51673,0.026360416
Keeping Up with the Kardashians,E!,159802,164635,-0.0302436765
Freedom Writers,VH1,98775,94969,0.0385320172
Gravity Falls,DISNEYXD,109484,109248,0.0021555661
Ridiculousness,MTV,132674,131051,0.0122329921
Long Island Medium,TLC,231935,222141,0.0422273482
"Nicky, Ricky, Dicky, & Dawn",TEENNCK,58423,56501,0.0328980025
Gravity Falls,DISNEYXD,115361,111748,0.0313190766
Keeping Up with the Kardashians,E!,161297,156715,0.0284072239
Jersey Shore,MTV,114785,111410,0.0294027965
Fangbone!,DISNEYXD,87921,85542,0.027058382
Long Island Medium,TLC,261650,267088,-0.0207834894
Beyblade Burst,DISNEYXD,71493,70125,0.0191347405
Pokémon The Series: XY,DISNEYXD,84356,83734,0.0073735123
Say Yes to the Dress,TLC,250885,248515,0.0094465592
Milo Murphy's Law,DISNEYXD,99514,100936,-0.0142894467
Milo Murphy's Law,DISNEYXD,119021,121265,-0.0188538157
Black Ink Crew,VH1,159310,171855,-0.0787458414
Walk the Prank,DISNEYXD,114922,115097,-0.001522772
Jersey Shore,MTV,149197,154096,-0.0328357809
Walk the Prank,DISNEYXD,119387,117281,0.0176401116
Sister Act,LOGO,42504,32681,0.2311076605
Tyler Perry's Meet the Browns,BET,214154,203927,0.0477553536
Walk the Prank,DISNEYXD,119387,117485,0.0159313828
Sanford and Son,TVONE,118518,115576,0.0248232336
Sister Act,LOGO,42504,38988,0.0827216262
Milo Murphy's Law,DISNEYXD,125793,126082,-0.0022974251
Sanford and Son,TVONE,129761,130641,-0.0067816987
Sister Act,LOGO,42504,52463,-0.2343073593
Milo Murphy's Law,DISNEYXD,138999,135988,0.0216620263
Milo Murphy's Law,DISNEYXD,156888,158385,-0.0095418388
Sister Act II: Back in the Habit,LOGO,79909,64523,0.1925440188
The Arrangement,E!,226870,211588,0.0673601622
The Real Housewives of Atlanta,BRAVO,311524,328418,-0.0542301717
Good Times,TVONE,141017,138028,0.021196026
Right Now Kapow,DISNEYXD,137851,133942,0.028356704
White Chicks,VH1,278085,297594,-0.0701548088
Boy Meets World,TEENNCK,132719,132267,0.0034056917
Sister Act II: Back in the Habit,LOGO,79909,75929,0.0498066551
Boy Meets World,TEENNCK,117164,116750,0.0035335086
Lab Rats,DISNEYXD,147082,145608,0.0100216206
Sister Act II: Back in the Habit,LOGO,79909,79891,0.0002252562
Miss Congeniality,BRAVO,296418,287170,0.0311991849
Boy Meets World,TEENNCK,117164,107893,0.0791284012
Hip Hop Squares,VH1,268339,273004,-0.017384726
Milo Murphy's Law,DISNEYXD,139027,137653,0.0098829724
Skin Tight,TLC,534099,504867,0.0547314262
Sister Act II: Back in the Habit,LOGO,79909,97586,-0.2212141311
Soul Men,BET,205607,209518,-0.0190217259
Keeping Up with the Kardashians,E!,325468,316876,0.0263989086
Skin Tight,TLC,534099,501641,0.0607715049
Sister Act,LOGO,60960,62311,-0.0221620735
Ultimate Spider-Man,DISNEYXD,119341,118048,0.0108344995
Watch What Happens: Live,BRAVO,284063,256518,0.0969679261
Sister Act,LOGO,60960,59238,0.0282480315
Beat Bobby Flay,FOOD,490729,467162,0.0480244697
Hey Arnold!,TEENNCK,82703,79321,0.0408933171
The Real Housewives of Beverly Hills,BRAVO,215699,209784,0.027422473
Doug,TEENNCK,73081,73416,-0.0045839548
Lottery Ticket,MTV,113696,116999,-0.029051154
Doug,TEENNCK,61890,58759,0.050589756
Friends,NICK,452615,422840,0.0657843863
The Game,BET,113590,113335,0.0022449159
Skin Tight,TLC,230683,237763,-0.0306914684
Love & Hip Hop Atlanta,VH1,157808,159690,-0.0119258846
The Real Housewives of Atlanta,BRAVO,139316,144678,-0.0384880416
Skin Tight,TLC,230683,202706,0.1212789846
The Game,BET,106740,103688,0.0285928424
Fresh Prince of Bel-Air,NICK,324516,321338,0.0097930456
The Jeffersons,TVONE,81170,81828,-0.0081064433
The Real Housewives of Atlanta,BRAVO,139316,117011,0.1601036493
The Jeffersons,TVONE,79045,77147,0.0240116389
Beat Bobby Flay,FOOD,218627,211670,0.0318213212
The Real Housewives of Atlanta,BRAVO,101086,84363,0.1654333933
Walk the Prank,DISNEYXD,43744,42781,0.0220144477
E! News,E!,53625,48635,0.0930536131
Milo Murphy's Law,DISNEYXD,72496,75871,-0.0465542927
Keeping Up with the Kardashians,E!,75914,77173,-0.0165845562
Gravity Falls,DISNEYXD,92743,89623,0.033641353
Keeping Up with the Kardashians,E!,90505,84152,0.0701950168
Gravity Falls,DISNEYXD,104697,100792,0.0372981079
Southern Charm,BRAVO,83481,86084,-0.0311807477
Gravity Falls,DISNEYXD,104697,105525,-0.0079085361
Keeping Up with the Kardashians,E!,90505,90541,-0.0003977681
Keeping Up with the Kardashians,E!,104809,99107,0.0544037249
Keeping Up with the Kardashians,E!,120888,112043,0.0731668983
Southern Charm,BRAVO,120766,110921,0.0815212891
Lab Rats,DISNEYXD,111846,110268,0.0141086852
Keeping Up with the Kardashians,E!,120888,126572,-0.0470187281
Keeping Up with the Kardashians,E!,132700,130317,0.0179577995
Black Ink Crew,VH1,90360,93159,-0.0309760956
Southern Charm,BRAVO,133257,130571,0.0201565396
Bella and the Bulldogs,TEENNCK,63880,61845,0.0318566061
Gravity Falls,DISNEYXD,110107,106773,0.0302796371
Keeping Up with the Kardashians,E!,142489,139227,0.0228929952
PAW Patrol,NICK,534056,495497,0.0722002936
Gravity Falls,DISNEYXD,121199,118117,0.0254292527
Gravity Falls,DISNEYXD,125420,126221,-0.0063865412
Good Times,TVONE,72044,65833,0.0862112043
Fangbone!,DISNEYXD,95687,85337,0.1081651635
The Real Housewives of Atlanta,BRAVO,107204,103888,0.0309316817
Beyblade Burst,DISNEYXD,76510,74536,0.0258005489
Pokémon The Series: XY,DISNEYXD,87273,79955,0.0838518213
Sanford and Son,TVONE,86628,83793,0.0327261394
Keeping Up with the Kardashians,E!,172206,178194,-0.0347723076
Sanford and Son,TVONE,92116,90747,0.0148616961
Say Yes to the Dress,TLC,295018,290683,0.0146940187
Sanford and Son,TVONE,93748,95480,-0.0184750608
Milo Murphy's Law,DISNEYXD,119291,119492,-0.0016849553
Milo Murphy's Law,DISNEYXD,121929,120809,0.0091856736
The Golden Girls,LOGO,32767,33055,-0.0087893307
Tyler Perry's Meet the Browns,BET,159047,162750,-0.0232824259
Milo Murphy's Law,DISNEYXD,115921,116470,-0.004735984
Sanford and Son,TVONE,99334,101887,-0.0257011698
Milo Murphy's Law,DISNEYXD,117321,117095,0.0019263388
Tyler Perry's Meet the Browns,BET,187333,189176,-0.0098380958
Keeping Up with the Kardashians,E!,194823,194864,-0.0002104474
Friends,MTV,190426,186839,0.0188367135
Sanford and Son,TVONE,116023,119928,-0.0336571197
Milo Murphy's Law,DISNEYXD,127053,126888,0.0012986706
Miss Congeniality,BRAVO,200342,192973,0.0367821026
Friends,MTV,188364,183435,0.0261674205
The Golden Girls,LOGO,44059,42539,0.0344991943
A Haunting,TLC,243849,240631,0.0131966914
Varsity Blues,VH1,222076,219597,0.0111628452
Milo Murphy's Law,DISNEYXD,146249,143107,0.0214839076
Mama's Family,LOGO,55428,54162,0.0228404417
Miss Congeniality,BRAVO,200342,222214,-0.1091733136
Good Times,TVONE,129232,129422,-0.0014702241
Mama's Family,LOGO,64061,61477,0.0403365542
Ridiculousness,MTV,273905,268341,0.0203136124
Good Times,TVONE,146490,139018,0.0510068947
Pokémon the Series: Sun & Moon,DISNEYXD,143500,140613,0.0201184669
Varsity Blues,VH1,222076,253025,-0.1393622003
Boy Meets World,TEENNCK,87754,85175,0.0293889737
Mama's Family,LOGO,66795,62917,0.0580582379
The Lucky One,E!,363822,398132,-0.0943043576
"Diners, Drive-Ins and Dives",FOOD,809280,814676,-0.0066676552
Lip Sync Battle,BET,355649,356491,-0.0023675028
Ridiculousness,MTV,287658,274849,0.0445285721
Mama's Family,LOGO,64781,62921,0.0287121224
Boy Meets World,TEENNCK,91490,88770,0.0297300251
Good Times,TVONE,140852,139373,0.0105003834
The Lucky One,E!,363822,377226,-0.0368421921
Marvel's Guardians of the Galaxy,DISNEYXD,130874,128846,0.0154958204
Ridiculousness,MTV,277623,260938,0.0600994874
Mama's Family,LOGO,61947,59407,0.0410027927
Night at the Museum: Battle of the Smithsonian,FREEFORM,278734,272193,0.0234668178
Miss Congeniality 2: Armed and Fabulous,BRAVO,243013,246256,-0.0133449651
Marvel's Guardians of the Galaxy,DISNEYXD,121219,119565,0.0136447257
CatDog,TEENNCK,80329,79837,0.0061248117
Mama's Family,LOGO,58992,57198,0.0304109032
Blue Streak,BET,233730,237271,-0.0151499594
Mama's Family,LOGO,56733,54298,0.0429203462
CatDog,TEENNCK,78808,74380,0.0561871891
Walk the Prank,DISNEYXD,120071,118811,0.0104937912
The Game of Dating,TVONE,86649,81789,0.0560883565
Blue Streak,BET,233730,250684,-0.0725366876
Rugrats,TEENNCK,84203,84854,-0.007731316
Good Times,TVONE,92941,87213,0.0616304968
Blue Streak,BET,233730,233740,-4.27844093612288E-05
"Diners, Drive-Ins and Dives",FOOD,499349,500787,-0.0028797494
Friends,NICK,533342,511558,0.0408443363
Blue Streak,BET,233730,214442,0.0825225688
Rugrats,TEENNCK,78334,78785,-0.0057573978
Unsung Hollywood,TVONE,96811,96933,-0.0012601874
Unsung Hollywood,TVONE,96811,102157,-0.0552209976
Blue Streak,BET,233730,197016,0.1570786805
When Harry Met Sally ...,BRAVO,144326,145450,-0.0077879246
A Haunting,TLC,104838,100651,0.0399378088
When Harry Met Sally ...,BRAVO,144326,123899,0.14153375
The Real Housewives of New York City,BRAVO,105675,98423,0.0686255027
George Lopez,NICK,334622,329844,0.0142787982
SpongeBob SquarePants,NICK,445791,443334,0.0055115514
Alice in Wonderland,FREEFORM,103041,129460,-0.2563930862
E! News Weekend,E!,155208,141308,0.0895572393
Teen Mom 2,MTV,189668,186884,0.0146782799
Ghostbusters II,VH1,167314,170679,-0.0201118854
Walk the Prank,DISNEYXD,125529,124785,0.0059269173
How to Train Your Dragon,FREEFORM,326731,322212,0.0138309496
Power Rangers Ninja Steel,NICK,665772,671634,-0.0088048161
Walk the Prank,DISNEYXD,134133,132034,0.0156486472
Mama's Family,LOGO,54322,53527,0.0146349545
Walk the Prank,DISNEYXD,131393,129835,0.0118575571
Walk the Prank,DISNEYXD,122922,124391,-0.0119506679
Keeping Up with the Kardashians,E!,216651,210975,0.0261988175
Walk the Prank,DISNEYXD,119035,116336,0.0226740034
Keeping Up with the Kardashians,E!,216651,215398,0.0057834951
Mama's Family,LOGO,56588,56690,-0.0018025023
Malibu's Most Wanted,VH1,159628,160837,-0.0075738592
Catfish: The TV Show,MTV,190477,192293,-0.0095339595
Keeping Up with the Kardashians,E!,221706,223643,-0.0087367956
Spring Baking Championship,FOOD,492208,477947,0.0289735234
Bunsen Is a Beast,NICK,696256,699764,-0.0050383767
Spring Baking Championship,FOOD,492208,481163,0.0224397003
Maid in Manhattan,E!,272071,239370,0.1201928908
Beyond the Lights,BET,212274,231133,-0.0888427221
Yo-Kai Watch,DISNEYXD,81384,79509,0.0230389266
ATL,BET,277494,225331,0.1879788392
Ice Age: The Meltdown,FREEFORM,366458,360785,0.0154806281
Mean Girls,BRAVO,259042,242448,0.0640591101
Sanford and Son,TVONE,179533,177040,0.0138860265
ATL,BET,277494,272097,0.0194490692
